satisfacción disponibilidad espacios, facilidad acceso , medio transporte,utiliza su carro y lo parquea,minutos para encontrar parqueadero,día de la semana,jornada,hora,no encontró parqueadero
3,2,Carro,Algunas veces,15,"Martes, Miércoles",Mañana,7:00:00 AM,20
4,4,Moto,Regularmente,10,"Miércoles, Jueves, Viernes",Mañana,8:30:00 AM,10
5,3,Moto,Regularmente,10,"Miércoles, Viernes, Sábado",Tarde,1:00:00 PM,18
3,4,Carro,Regularmente,6,"Miércoles, Jueves",Mañana,10:00:00 AM,20
3,1,Carro,Regularmente,8,"Lunes, Martes, Miércoles",Mañana,8:00:00 AM,20
3,1,Carro,Algunas veces,8,"Lunes, Martes",Mañana,2:00:00 PM,8
3,1,Carro,Siempre,15,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",Tarde,4:00:00 PM,13
2,3,Carro,Regularmente,5,"Martes, Miércoles, Jueves, Viernes",Mañana,7:00:00 AM,5
4,2,Carro,Siempre,3,"Lunes, Martes, Jueves, Viernes",Mañana,7:15:00 AM,0
4,4,Carro,Siempre,4,"Lunes, Martes, Miércoles, Jueves, Viernes",Mañana,7:00:00 AM,0
5,5,Moto,Siempre,2,"Lunes, Martes, Miércoles, Jueves",Mañana,9:00:00 AM,0
5,5,Carro,Siempre,5,"Martes, Miércoles, Jueves, Viernes",Mañana,7:00:00 AM,0
4,5,Moto,Regularmente,1,"Lunes, Miércoles, Jueves, Viernes",Mañana,9:00:00 AM,2
4,3,Carro,Siempre,4,"Lunes, Martes, Miércoles, Jueves, Viernes",Mañana,10:00:00 AM,4
3,3,Carro,Regularmente,5,"Lunes, Martes, Miércoles, Jueves, Viernes",Mañana,7:30:00 AM,3
5,5,Carro,Regularmente,3,"Lunes, Jueves, Viernes",Mañana,11:00:00 AM,0
4,3,Carro,Siempre,3,"Lunes, Martes, Miércoles, Jueves, Viernes",Mañana,8:30:00 AM,5
4,4,Carro,Algunas veces,2,"Lunes, Martes, Jueves, Viernes",Mañana,9:00:00 AM,0
5,5,Moto,Siempre,1,"Lunes, Martes, Miércoles, Jueves",Mañana,7:00:00 AM,0
3,3,Carro,Siempre,5,"Lunes, Martes, Miércoles, Jueves, Viernes",Mañana,7:00:00 AM,4
5,4,Carro,Regularmente,3,"Lunes, Martes, Miércoles, Viernes",Mañana,9:00:00 AM,1
5,5,A pie,Nunca,0,Lunes,Mañana,7:00:00 AM,0
3,3,Carro,Regularmente,5,Viernes,Mañana,7:00:00 AM,0
3,3,Carro,Regularmente,5,Viernes,Mañana,7:00:00 AM,0
4,4,Carro,Regularmente,6,"Lunes, Viernes",Mañana,7:00:00 AM,1
,,mio,Nunca,0,,,,0
,,Bicicleta,Nunca,0,,,,0
5,5,Bicicleta,Nunca,0,,,,0
3,3,Moto,Nunca,1,"Lunes, Martes, Miércoles, Jueves, Viernes",Mañana,7:00:00 AM,2
3,3,Carro,Regularmente,3,"Lunes, Martes, Miércoles, Jueves, Viernes",Mañana,8:00:00 AM,2
3,3,Carro,Regularmente,4,"Lunes, Miércoles, Jueves, Viernes",Mañana,9:00:00 AM,3
3,3,Carro,Regularmente,4,"Lunes, Martes, Jueves, Viernes, Sábado",Mañana,7:00:00 AM,4
3,3,Carro,Regularmente,5,"Lunes, Martes, Miércoles, Viernes, Sábado",Mañana,7:00:00 AM,5
3,3,Carro,Regularmente,6,"Lunes, Martes, Miércoles, Viernes, Sábado",Mañana,7:00:00 AM,5
3,3,Carro,Regularmente,6,"Lunes, Martes, Miércoles, Jueves, Sábado",Mañana,7:00:00 AM,4
4,4,Carro,Regularmente,7,"Lunes, Miércoles, Jueves, Viernes",Mañana,7:00:00 AM,0
3,3,Carro,Regularmente,8,"Lunes, Martes, Jueves, Viernes",Mañana,7:00:00 AM,0
5,5,Carro,Regularmente,2,"Lunes, Martes, Jueves, Viernes",Mañana,7:00:00 AM,0
